lexeme,stem,class,regular,last,last2,last3,last4,first,first2,first3,first4
alegar,aleg,ar-regular,1,g,e,l,a,a,l,e,g
alegrar,alegr,ar-regular,1,r,g,e,l,a,l,e,g
alejar,alej,ar-regular,1,j,e,l,a,a,l,e,j
alentar,alent,ar-ie,0,t,n,e,l,a,l,e,n
alertar,alert,ar-regular,1,t,r,e,l,a,l,e,r
aletear,alete,ar-regular,1,e,t,e,l,a,l,e,t
alfombrar,alfombr,ar-regular,1,r,b,m,o,a,l,f,o
aliar,ali,ar-regular,1,i,l,a,,a,l,i,
alicatar,alicat,ar-regular,1,t,a,c,i,a,l,i,c
alienar,alien,ar-regular,1,n,e,i,l,a,l,i,e
aligerar,alijer,ar-regular,1,r,e,j,i,a,l,i,j
alijar,alij,ar-regular,1,j,i,l,a,a,l,i,j
alimentar,aliment,ar-regular,1,t,n,e,m,a,l,i,m
alinear,aline,ar-regular,1,e,n,i,l,a,l,i,n
alistar,alist,ar-regular,1,t,s,i,l,a,l,i,s
aliviar,alibi,ar-regular,1,i,b,i,l,a,l,i,b
allanar,aLan,ar-regular,1,n,a,L,a,a,L,a,n
allegar,aLeg,ar-regular,1,g,e,L,a,a,L,e,g
almacenar,almazen,ar-regular,1,n,e,z,a,a,l,m,a
almorzar,almorz,ar-ue,0,z,r,o,m,a,l,m,o
alocar,aloc,ar-regular,1,c,o,l,a,a,l,o,c
alojar,aloj,ar-regular,1,j,o,l,a,a,l,o,j
alquilar,alcil,ar-regular,1,l,i,c,l,a,l,c,i
alterar,alter,ar-regular,1,r,e,t,l,a,l,t,e
altercar,alterc,ar-regular,1,c,r,e,t,a,l,t,e
alternar,altern,ar-regular,1,n,r,e,t,a,l,t,e
alucinar,aluzin,ar-regular,1,n,i,z,u,a,l,u,z
alumbrar,alumbr,ar-regular,1,r,b,m,u,a,l,u,m
alzar,alz,ar-regular,1,z,l,a,,a,l,z,
amaestrar,amaestr,ar-regular,1,r,t,s,e,a,m,a,e
amagar,amag,ar-regular,1,g,a,m,a,a,m,a,g
amalgamar,amalgam,ar-regular,1,m,a,g,l,a,m,a,l
amansar,amans,ar-regular,1,s,n,a,m,a,m,a,n
amargar,amarg,ar-regular,1,g,r,a,m,a,m,a,r
amarrar,amaR,ar-regular,1,R,a,m,a,a,m,a,R
amasar,amas,ar-regular,1,s,a,m,a,a,m,a,s
ambicionar,ambizion,ar-regular,1,n,o,i,z,a,m,b,i
ambientar,ambient,ar-regular,1,t,n,e,i,a,m,b,i
amedrentar,amedrent,ar-regular,1,t,n,e,r,a,m,e,d
amenazar,amenaz,ar-regular,1,z,a,n,e,a,m,e,n
amenizar,ameniz,ar-regular,1,z,i,n,e,a,m,e,n
ametrallar,ametraL,ar-regular,1,L,a,r,t,a,m,e,t
amilanar,amilan,ar-regular,1,n,a,l,i,a,m,i,l
aminorar,aminor,ar-regular,1,r,o,n,i,a,m,i,n
amistar,amist,ar-regular,1,t,s,i,m,a,m,i,s
amnistiar,amnisti,ar-regular,1,i,t,s,i,a,m,n,i
amonestar,amonest,ar-regular,1,t,s,e,n,a,m,o,n
amontonar,amonton,ar-regular,1,n,o,t,n,a,m,o,n
amortiguar,amortigu,ar-regular,1,u,g,i,t,a,m,o,r
amortizar,amortiz,ar-regular,1,z,i,t,r,a,m,o,r
amotinar,amotin,ar-regular,1,n,i,t,o,a,m,o,t
amparar,ampar,ar-regular,1,r,a,p,m,a,m,p,a
ampliar,ampli,ar-regular,1,i,l,p,m,a,m,p,l
amplificar,amplific,ar-regular,1,c,i,f,i,a,m,p,l
amputar,amput,ar-regular,1,t,u,p,m,a,m,p,u
amueblar,amuebl,ar-regular,1,l,b,e,u,a,m,u,e
amurallar,amuraL,ar-regular,1,L,a,r,u,a,m,u,r
analizar,analiz,ar-regular,1,z,i,l,a,a,n,a,l
anclar,ancl,ar-regular,1,l,c,n,a,a,n,c,l
andar,and,ar-regular,1,d,n,a,,a,n,d,
anegar,aneg,ar-regular,1,g,e,n,a,a,n,e,g
anestesiar,anestesi,ar-regular,1,i,s,e,t,a,n,e,s
anexar,anex,ar-regular,1,x,e,n,a,a,n,e,x
anexionar,anexion,ar-regular,1,n,o,i,x,a,n,e,x
angostar,angost,ar-regular,1,t,s,o,g,a,n,g,o
angustiar,angusti,ar-regular,1,i,t,s,u,a,n,g,u
anhelar,anel,ar-regular,1,l,e,n,a,a,n,e,l
anidar,anid,ar-regular,1,d,i,n,a,a,n,i,d
anillar,aniL,ar-regular,1,L,i,n,a,a,n,i,L
animar,anim,ar-regular,1,m,i,n,a,a,n,i,m
aniquilar,anicil,ar-regular,1,l,i,c,i,a,n,i,c
anonadar,anonad,ar-regular,1,d,a,n,o,a,n,o,n
anotar,anot,ar-regular,1,t,o,n,a,a,n,o,t
ansiar,ansi,ar-regular,1,i,s,n,a,a,n,s,i
anticipar,antizip,ar-regular,1,p,i,z,i,a,n,t,i
anular,anul,ar-regular,1,l,u,n,a,a,n,u,l
anunciar,anunzi,ar-regular,1,i,z,n,u,a,n,u,n
apaciguar,apazigu,ar-regular,1,u,g,i,z,a,p,a,z
apadrinar,apadrin,ar-regular,1,n,i,r,d,a,p,a,d
apagar,apag,ar-regular,1,g,a,p,a,a,p,a,g
apalancar,apalanc,ar-regular,1,c,n,a,l,a,p,a,l
apalear,apale,ar-regular,1,e,l,a,p,a,p,a,l
aparar,apar,ar-regular,1,r,a,p,a,a,p,a,r
aparcar,aparc,ar-regular,1,c,r,a,p,a,p,a,r
aparear,apare,ar-regular,1,e,r,a,p,a,p,a,r
aparejar,aparej,ar-regular,1,j,e,r,a,a,p,a,r
aparentar,aparent,ar-regular,1,t,n,e,r,a,p,a,r
apartar,apart,ar-regular,1,t,r,a,p,a,p,a,r
apasionar,apasion,ar-regular,1,n,o,i,s,a,p,a,s
apear,ape,ar-regular,1,e,p,a,,a,p,e,
apedrear,apedre,ar-regular,1,e,r,d,e,a,p,e,d
apelar,apel,ar-regular,1,l,e,p,a,a,p,e,l
apenar,apen,ar-regular,1,n,e,p,a,a,p,e,n
apestar,apest,ar-regular,1,t,s,e,p,a,p,e,s
apilar,apil,ar-regular,1,l,i,p,a,a,p,i,l
aplacar,aplac,ar-regular,1,c,a,l,p,a,p,l,a
aplanar,aplan,ar-regular,1,n,a,l,p,a,p,l,a
aplastar,aplast,ar-regular,1,t,s,a,l,a,p,l,a
aplazar,aplaz,ar-regular,1,z,a,l,p,a,p,l,a
aplicar,aplic,ar-regular,1,c,i,l,p,a,p,l,i
apodar,apod,ar-regular,1,d,o,p,a,a,p,o,d
apoderar,apoder,ar-regular,1,r,e,d,o,a,p,o,d
apoquinar,apocin,ar-regular,1,n,i,c,o,a,p,o,c
aporrear,apoRe,ar-regular,1,e,R,o,p,a,p,o,R
aportar,aport,ar-regular,1,t,r,o,p,a,p,o,r
aposentar,aposent,ar-regular,1,t,n,e,s,a,p,o,s
apostar,apost,ar-ue,0,t,s,o,p,a,p,o,s
apoyar,apoL,ar-regular,1,L,o,p,a,a,p,o,L
apreciar,aprezi,ar-regular,1,i,z,e,r,a,p,r,e
apremiar,apremi,ar-regular,1,i,m,e,r,a,p,r,e
apresar,apres,ar-regular,1,s,e,r,p,a,p,r,e
aprestar,aprest,ar-regular,1,t,s,e,r,a,p,r,e
apresurar,apresur,ar-regular,1,r,u,s,e,a,p,r,e
apretar,apret,ar-ie,0,t,e,r,p,a,p,r,e
aprisionar,aprision,ar-regular,1,n,o,i,s,a,p,r,i
aprobar,aprob,ar-ue,0,b,o,r,p,a,p,r,o
apropiar,apropi,ar-regular,1,i,p,o,r,a,p,r,o
aprovechar,aprobeC,ar-regular,1,C,e,b,o,a,p,r,o
aproximar,aproxim,ar-regular,1,m,i,x,o,a,p,r,o
apuntalar,apuntal,ar-regular,1,l,a,t,n,a,p,u,n
apuntar,apunt,ar-regular,1,t,n,u,p,a,p,u,n
apurar,apur,ar-regular,1,r,u,p,a,a,p,u,r
aquejar,acej,ar-regular,1,j,e,c,a,a,c,e,j
aquietar,aciet,ar-regular,1,t,e,i,c,a,c,i,e
arbitrar,arbitr,ar-regular,1,r,t,i,b,a,r,b,i
arbolar,arbol,ar-regular,1,l,o,b,r,a,r,b,o
arcar,arc,ar-regular,1,c,r,a,,a,r,c,
archivar,arCib,ar-regular,1,b,i,C,r,a,r,C,i
arengar,areng,ar-regular,1,g,n,e,r,a,r,e,n
argumentar,argument,ar-regular,1,t,n,e,m,a,r,g,u
armar,arm,ar-regular,1,m,r,a,,a,r,m,
armonizar,armoniz,ar-regular,1,z,i,n,o,a,r,m,o
aromatizar,aromatiz,ar-regular,1,z,i,t,a,a,r,o,m
arquear,arce,ar-regular,1,e,c,r,a,a,r,c,e
arraigar,aRaig,ar-regular,1,g,i,a,R,a,R,a,i
arrancar,aRanc,ar-regular,1,c,n,a,R,a,R,a,n
arrasar,aRas,ar-regular,1,s,a,R,a,a,R,a,s
arrastrar,aRastr,ar-regular,1,r,t,s,a,a,R,a,s
arrear,aRe,ar-regular,1,e,R,a,,a,R,e,
arreciar,aRezi,ar-regular,1,i,z,e,R,a,R,e,z
arreglar,aRegl,ar-regular,1,l,g,e,R,a,R,e,g
arrendar,aRend,ar-ie,0,d,n,e,R,a,R,e,n
arrestar,aRest,ar-regular,1,t,s,e,R,a,R,e,s
arriar,aRi,ar-regular,1,i,R,a,,a,R,i,
arribar,aRib,ar-regular,1,b,i,R,a,a,R,i,b
arriesgar,aRiesg,ar-regular,1,g,s,e,i,a,R,i,e
arrimar,aRim,ar-regular,1,m,i,R,a,a,R,i,m
arrinconar,aRincon,ar-regular,1,n,o,c,n,a,R,i,n
arrojar,aRoj,ar-regular,1,j,o,R,a,a,R,o,j
arrollar,aRoL,ar-regular,1,L,o,R,a,a,R,o,L
arrugar,aRug,ar-regular,1,g,u,R,a,a,R,u,g
arruinar,aRuin,ar-regular,1,n,i,u,R,a,R,u,i
articular,articul,ar-regular,1,l,u,c,i,a,r,t,i
asalariar,asalari,ar-regular,1,i,r,a,l,a,s,a,l
asaltar,asalt,ar-regular,1,t,l,a,s,a,s,a,l
asear,ase,ar-regular,1,e,s,a,,a,s,e,
asediar,asedi,ar-regular,1,i,d,e,s,a,s,e,d
asegurar,asegur,ar-regular,1,r,u,g,e,a,s,e,g
asemejar,asemej,ar-regular,1,j,e,m,e,a,s,e,m
asentar,asent,ar-ie,0,t,n,e,s,a,s,e,n
asesinar,asesin,ar-regular,1,n,i,s,e,a,s,e,s
asesorar,asesor,ar-regular,1,r,o,s,e,a,s,e,s
asestar,asest,ar-regular,1,t,s,e,s,a,s,e,s
aseverar,aseber,ar-regular,1,r,e,b,e,a,s,e,b
asfaltar,asfalt,ar-regular,1,t,l,a,f,a,s,f,a
asfixiar,asfixi,ar-regular,1,i,x,i,f,a,s,f,i
asignar,asign,ar-regular,1,n,g,i,s,a,s,i,g
asilar,asil,ar-regular,1,l,i,s,a,a,s,i,l
asimilar,asimil,ar-regular,1,l,i,m,i,a,s,i,m
asociar,asozi,ar-regular,1,i,z,o,s,a,s,o,z
asolar,asol,ar-ue,0,l,o,s,a,a,s,o,l
asomar,asom,ar-regular,1,m,o,s,a,a,s,o,m
asombrar,asombr,ar-regular,1,r,b,m,o,a,s,o,m
aspirar,aspir,ar-regular,1,r,i,p,s,a,s,p,i
astillar,astiL,ar-regular,1,L,i,t,s,a,s,t,i
asustar,asust,ar-regular,1,t,s,u,s,a,s,u,s
atacar,atac,ar-regular,1,c,a,t,a,a,t,a,c
atajar,ataj,ar-regular,1,j,a,t,a,a,t,a,j
atalayar,atalaL,ar-regular,1,L,a,l,a,a,t,a,l
atarear,atare,ar-regular,1,e,r,a,t,a,t,a,r
atascar,atasc,ar-regular,1,c,s,a,t,a,t,a,s
atemorizar,atemoriz,ar-regular,1,z,i,r,o,a,t,e,m
atemperar,atemper,ar-regular,1,r,e,p,m,a,t,e,m
atenazar,atenaz,ar-regular,1,z,a,n,e,a,t,e,n
atentar,atent,ar-regular,1,t,n,e,t,a,t,e,n
atenuar,atenu,ar-regular,1,u,n,e,t,a,t,e,n
aterrar,ateR,ar-ie,0,R,e,t,a,a,t,e,R
aterrizar,ateRiz,ar-regular,1,z,i,R,e,a,t,e,R
aterrorizar,ateRoriz,ar-regular,1,z,i,r,o,a,t,e,R
atesorar,atesor,ar-regular,1,r,o,s,e,a,t,e,s
atestar,atest,ar-ie,0,t,s,e,t,a,t,e,s
atestiguar,atestigu,ar-regular,1,u,g,i,t,a,t,e,s
atinar,atin,ar-regular,1,n,i,t,a,a,t,i,n
atisbar,atisb,ar-regular,1,b,s,i,t,a,t,i,s
atizar,atiz,ar-regular,1,z,i,t,a,a,t,i,z
atorar,ator,ar-regular,1,r,o,t,a,a,t,o,r
atormentar,atorment,ar-regular,1,t,n,e,m,a,t,o,r
atosigar,atosig,ar-regular,1,g,i,s,o,a,t,o,s
atracar,atrac,ar-regular,1,c,a,r,t,a,t,r,a
atrancar,atranc,ar-regular,1,c,n,a,r,a,t,r,a
atrapar,atrap,ar-regular,1,p,a,r,t,a,t,r,a
atrasar,atras,ar-regular,1,s,a,r,t,a,t,r,a
atravesar,atrabes,ar-ie,0,s,e,b,a,a,t,r,a
atribular,atribul,ar-regular,1,l,u,b,i,a,t,r,i
atrincherar,atrinCer,ar-regular,1,r,e,C,n,a,t,r,i
atronar,atron,ar-ue,0,n,o,r,t,a,t,r,o
atropellar,atropeL,ar-regular,1,L,e,p,o,a,t,r,o
augurar,augur,ar-regular,1,r,u,g,u,a,u,g,u
aumentar,aument,ar-regular,1,t,n,e,m,a,u,m,e
aunar,aun,ar-regular,1,n,u,a,,a,u,n,
auspiciar,auspizi,ar-regular,1,i,z,i,p,a,u,s,p
autenticar,autentic,ar-regular,1,c,i,t,n,a,u,t,e
automatizar,automatiz,ar-regular,1,z,i,t,a,a,u,t,o
autorizar,autoriz,ar-regular,1,z,i,r,o,a,u,t,o
auxiliar,auxili,ar-regular,1,i,l,i,x,a,u,x,i
avalar,abal,ar-regular,1,l,a,b,a,a,b,a,l
avaluar,abalu,ar-regular,1,u,l,a,b,a,b,a,l
avanzar,abanz,ar-regular,1,z,n,a,b,a,b,a,n
avasallar,abasaL,ar-regular,1,L,a,s,a,a,b,a,s
avellanar,abeLan,ar-regular,1,n,a,L,e,a,b,e,L
aventajar,abentaj,ar-regular,1,j,a,t,n,a,b,e,n
aventar,abent,ar-ie,0,t,n,e,b,a,b,e,n
aventurar,abentur,ar-regular,1,r,u,t,n,a,b,e,n
avergonzar,abergonz,ar-ue,0,z,n,o,g,a,b,e,r
averiar,aberi,ar-regular,1,i,r,e,b,a,b,e,r
averiguar,aberigu,ar-regular,1,u,g,i,r,a,b,e,r
avezar,abez,ar-regular,1,z,e,b,a,a,b,e,z
aviar,abi,ar-regular,1,i,b,a,,a,b,i,
avisar,abis,ar-regular,1,s,i,b,a,a,b,i,s
avispar,abisp,ar-regular,1,p,s,i,b,a,b,i,s
avistar,abist,ar-regular,1,t,s,i,b,a,b,i,s
avivar,abib,ar-regular,1,b,i,b,a,a,b,i,b
avizorar,abizor,ar-regular,1,r,o,z,i,a,b,i,z
ayudar,aLud,ar-regular,1,d,u,L,a,a,L,u,d
ayunar,aLun,ar-regular,1,n,u,L,a,a,L,u,n
azorar,azor,ar-regular,1,r,o,z,a,a,z,o,r
azotar,azot,ar-regular,1,t,o,z,a,a,z,o,t
azucarar,azucar,ar-regular,1,r,a,c,u,a,z,u,c
azular,azul,ar-regular,1,l,u,z,a,a,z,u,l
azuzar,azuz,ar-regular,1,z,u,z,a,a,z,u,z
babear,babe,ar-regular,1,e,b,a,b,b,a,b,e
bailar,bail,ar-regular,1,l,i,a,b,b,a,i,l
bajar,baj,ar-regular,1,j,a,b,,b,a,j,
balancear,balanze,ar-regular,1,e,z,n,a,b,a,l,a
balar,bal,ar-regular,1,l,a,b,,b,a,l,
baldar,bald,ar-regular,1,d,l,a,b,b,a,l,d
balear,bale,ar-regular,1,e,l,a,b,b,a,l,e
bancar,banc,ar-regular,1,c,n,a,b,b,a,n,c
barajar,baraj,ar-regular,1,j,a,r,a,b,a,r,a
barbar,barb,ar-regular,1,b,r,a,b,b,a,r,b
bardar,bard,ar-regular,1,d,r,a,b,b,a,r,d
basar,bas,ar-regular,1,s,a,b,,b,a,s,
bastar,bast,ar-regular,1,t,s,a,b,b,a,s,t
basurear,basure,ar-regular,1,e,r,u,s,b,a,s,u
batallar,bataL,ar-regular,1,L,a,t,a,b,a,t,a
batear,bate,ar-regular,1,e,t,a,b,b,a,t,e
bautizar,bautiz,ar-regular,1,z,i,t,u,b,a,u,t
beneficiar,benefizi,ar-regular,1,i,z,i,f,b,e,n,e
besar,bes,ar-regular,1,s,e,b,,b,e,s,
bizcar,bizc,ar-regular,1,c,z,i,b,b,i,z,c
blanquear,blance,ar-regular,1,e,c,n,a,b,l,a,n
